subj_id,subjcode,electrode,qual_col,row,Name,TextResp,isCorrect,Timing_1,Confidence
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(8),8,camera,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(9),9,airplane,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(10),10,socks,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(11),11,glove,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(12),12,cake,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(13),13,hairbrush,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(14),14,bed,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(15),15,boot,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(16),16,coffeemug,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(17),17,armchair,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(18),18,guitar,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(19),19,cat,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(20),20,bowtie,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(21),21,knife,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(22),22,binoculars,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(23),23,rollerblades,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(24),24,leopard,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(25),25,handbag,cheese man,0,10.546,8.0
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(26),26,motorcycle,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(27),27,lantern,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(28),28,bike,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(29),29,cheesegrater,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(30),30,desk,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(31),31,bird,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(32),32,apple,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(33),33,lock,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(34),34,car,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(35),35,crib,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(36),36,camcoder,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(37),37,trophy,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(38),38,calculator,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(39),39,tennisracket,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(40),40,butterfly,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(41),41,stapler,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(42),42,sodacan,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(43),43,palmtree,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(44),44,gift,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(45),45,bucket,,0,,
R_1TCKelAGYh94Ppr,will_test,3,NameResp_TEXT(46),46,trumpet,,0,,
