subj_id,qual_col,Timing_1,row,Name
R_cGTSCS88UP99f0x,Timing_1(5),,5,headphones
R_6ujqTETwTzRExX7,Timing_1(5),11.399000000000001,5,headphones
R_1NfgfYV1GvFsWiN,Timing_1(5),,5,headphones
R_0TiNGME0OVqJO3H,Timing_1(5),3.281,5,headphones
R_0ih7r0MXsn7mCSV,Timing_1(5),0.9229999999999999,5,headphones
R_aWcEn0nidpymQER,Timing_1(5),4.731,5,headphones
R_9FZPEV6r7ezLOSN,Timing_1(5),6.01,5,headphones
R_6zhc96D1g2EpM2h,Timing_1(5),3.86,5,headphones
R_2a6HPCAFPrB4mIR,Timing_1(5),,5,headphones
R_8nQqGUmR9MT1CTP,Timing_1(6),12.862,6,stroller
R_0NWkLPKVngfskaV,Timing_1(6),3.537,6,stroller
R_2tvsWbcRX5R84ap,Timing_1(6),22.209,6,stroller
R_1TCKelAGYh94Ppr,Timing_1(6),,6,stroller
R_5uoQgdmI1psnW97,Timing_1(6),3.7769999999999997,6,stroller
R_2aVo1rAUKgNJ8VL,Timing_1(6),,6,stroller
R_03dyKKqahwimd1z,Timing_1(6),5.636,6,stroller
R_4I5pqYdhVgOKFKd,Timing_1(6),28.283,6,stroller
R_1EWCq1k7UFauhNj,Timing_1(6),2.8360000000000003,6,stroller
R_81xh6ldt0VxOPHL,Timing_1(6),3.239,6,stroller
R_9KLkobZ9kYZSzYh,Timing_1(6),3.0260000000000002,6,stroller
R_4T9SzDwjzOtlmrX,Timing_1(6),9.057,6,stroller
R_eFBfDt4acLjjVQh,Timing_1(6),2.582,6,stroller
R_d6Dq6Kyn36MTAJ7,Timing_1(6),8.999,6,stroller
R_3jv8dkv5pkIe4f3,Timing_1(6),15.502,6,stroller
R_9NNGTs03HOOrLhz,Timing_1(6),2.8989999999999996,6,stroller
R_9QAIH8o5XKYkAFD,Timing_1(6),6.523,6,stroller
R_8hQIw8oM3sZtlUV,Timing_1(6),1.9909999999999999,6,stroller
R_dbuBKRXlnjouSRD,Timing_1(6),1.764,6,stroller
R_81i04UQTtFxOXlz,Timing_1(6),4.082,6,stroller
R_aflUaQ1v901DTZb,Timing_1(6),5.181,6,stroller
R_8cU5NCG2ysTIeFf,Timing_1(6),3.8539999999999996,6,stroller
R_9movxfJr3JHx4c5,Timing_1(6),7.95,6,stroller
R_6zZuvVsaXiYicmh,Timing_1(6),1.7830000000000001,6,stroller
R_7Os34FuyUOKUtAV,Timing_1(6),5.405,6,stroller
R_6tIMcOQsORkQnuB,Timing_1(6),10.975999999999999,6,stroller
R_e9a4GNsvoZJ49mZ,Timing_1(6),11.029000000000002,6,stroller
R_cAPsFbVcU6FKEpT,Timing_1(6),7.265,6,stroller
R_cO0dBs5ofX0BOpT,Timing_1(6),4.815,6,stroller
R_6Yb3oRlkWUQ0xkF,Timing_1(6),19.15,6,stroller
R_5A3PjLiZbWfA6Tb,Timing_1(6),2.12,6,stroller
R_0cuIBoqJYSnYnLT,Timing_1(6),3.427,6,stroller
R_9KSFfd62afsuieF,Timing_1(6),3.7539999999999996,6,stroller
R_02GRIQd5MDRenPf,Timing_1(6),9.521,6,stroller
R_bjv98vU4STp6zQx,Timing_1(6),1.794,6,stroller
R_9KB1XzOy6rP7O1D,Timing_1(6),2.6439999999999997,6,stroller
R_eX2Q9p9ZqgsYVLv,Timing_1(6),2.3890000000000002,6,stroller
R_eDMsuefXH4Nvbhz,Timing_1(6),,6,stroller
R_cGTSCS88UP99f0x,Timing_1(6),17.062,6,stroller
R_6ujqTETwTzRExX7,Timing_1(6),11.699000000000002,6,stroller
R_1NfgfYV1GvFsWiN,Timing_1(6),,6,stroller
R_0TiNGME0OVqJO3H,Timing_1(6),,6,stroller
R_0ih7r0MXsn7mCSV,Timing_1(6),,6,stroller
R_aWcEn0nidpymQER,Timing_1(6),4.664,6,stroller
R_9FZPEV6r7ezLOSN,Timing_1(6),7.141,6,stroller
R_6zhc96D1g2EpM2h,Timing_1(6),1.9469999999999998,6,stroller
R_2a6HPCAFPrB4mIR,Timing_1(6),,6,stroller
R_8nQqGUmR9MT1CTP,Timing_1(7),3.0410000000000004,7,hammer
R_0NWkLPKVngfskaV,Timing_1(7),2.217,7,hammer
R_2tvsWbcRX5R84ap,Timing_1(7),6.654,7,hammer
R_1TCKelAGYh94Ppr,Timing_1(7),,7,hammer
R_5uoQgdmI1psnW97,Timing_1(7),5.8389999999999995,7,hammer
R_2aVo1rAUKgNJ8VL,Timing_1(7),,7,hammer
R_03dyKKqahwimd1z,Timing_1(7),6.24,7,hammer
R_4I5pqYdhVgOKFKd,Timing_1(7),,7,hammer
R_1EWCq1k7UFauhNj,Timing_1(7),1.5319999999999998,7,hammer
R_81xh6ldt0VxOPHL,Timing_1(7),1.77,7,hammer
R_9KLkobZ9kYZSzYh,Timing_1(7),1.758,7,hammer
R_4T9SzDwjzOtlmrX,Timing_1(7),4.997,7,hammer
R_eFBfDt4acLjjVQh,Timing_1(7),3.237,7,hammer
R_d6Dq6Kyn36MTAJ7,Timing_1(7),6.287000000000001,7,hammer
R_3jv8dkv5pkIe4f3,Timing_1(7),7.156000000000001,7,hammer
R_9NNGTs03HOOrLhz,Timing_1(7),4.871,7,hammer
R_9QAIH8o5XKYkAFD,Timing_1(7),8.552999999999999,7,hammer
R_8hQIw8oM3sZtlUV,Timing_1(7),1.99,7,hammer
R_dbuBKRXlnjouSRD,Timing_1(7),2.08,7,hammer
R_81i04UQTtFxOXlz,Timing_1(7),3.196,7,hammer
R_aflUaQ1v901DTZb,Timing_1(7),2.7939999999999996,7,hammer
R_8cU5NCG2ysTIeFf,Timing_1(7),3.002,7,hammer
R_9movxfJr3JHx4c5,Timing_1(7),2.827,7,hammer
R_6zZuvVsaXiYicmh,Timing_1(7),2.943,7,hammer
R_7Os34FuyUOKUtAV,Timing_1(7),3.0980000000000003,7,hammer
R_6tIMcOQsORkQnuB,Timing_1(7),8.732000000000001,7,hammer
R_e9a4GNsvoZJ49mZ,Timing_1(7),2.6210000000000004,7,hammer
R_cAPsFbVcU6FKEpT,Timing_1(7),3.773,7,hammer
R_cO0dBs5ofX0BOpT,Timing_1(7),2.87,7,hammer
R_6Yb3oRlkWUQ0xkF,Timing_1(7),5.178,7,hammer
R_5A3PjLiZbWfA6Tb,Timing_1(7),9.04,7,hammer
R_0cuIBoqJYSnYnLT,Timing_1(7),2.967,7,hammer
R_9KSFfd62afsuieF,Timing_1(7),3.0989999999999998,7,hammer
R_02GRIQd5MDRenPf,Timing_1(7),3.0039999999999996,7,hammer
R_bjv98vU4STp6zQx,Timing_1(7),3.832,7,hammer
R_9KB1XzOy6rP7O1D,Timing_1(7),12.67,7,hammer
R_eX2Q9p9ZqgsYVLv,Timing_1(7),2.7060000000000004,7,hammer
R_eDMsuefXH4Nvbhz,Timing_1(7),,7,hammer
R_cGTSCS88UP99f0x,Timing_1(7),8.764,7,hammer
R_6ujqTETwTzRExX7,Timing_1(7),9.051,7,hammer
R_1NfgfYV1GvFsWiN,Timing_1(7),,7,hammer
R_0TiNGME0OVqJO3H,Timing_1(7),3.167,7,hammer
R_0ih7r0MXsn7mCSV,Timing_1(7),1.163,7,hammer
R_aWcEn0nidpymQER,Timing_1(7),2.35,7,hammer
R_9FZPEV6r7ezLOSN,Timing_1(7),3.892,7,hammer
R_6zhc96D1g2EpM2h,Timing_1(7),7.872999999999999,7,hammer
R_2a6HPCAFPrB4mIR,Timing_1(7),2.804,7,hammer
R_8nQqGUmR9MT1CTP,Timing_1(8),2.07,8,camera
R_0NWkLPKVngfskaV,Timing_1(8),1.507,8,camera
R_2tvsWbcRX5R84ap,Timing_1(8),1.607,8,camera
R_1TCKelAGYh94Ppr,Timing_1(8),,8,camera
R_5uoQgdmI1psnW97,Timing_1(8),,8,camera
R_2aVo1rAUKgNJ8VL,Timing_1(8),,8,camera
R_03dyKKqahwimd1z,Timing_1(8),10.854000000000001,8,camera
R_4I5pqYdhVgOKFKd,Timing_1(8),1.569,8,camera
R_1EWCq1k7UFauhNj,Timing_1(8),1.911,8,camera
R_81xh6ldt0VxOPHL,Timing_1(8),1.486,8,camera
R_9KLkobZ9kYZSzYh,Timing_1(8),1.597,8,camera
R_4T9SzDwjzOtlmrX,Timing_1(8),1.787,8,camera
R_eFBfDt4acLjjVQh,Timing_1(8),1.932,8,camera
R_d6Dq6Kyn36MTAJ7,Timing_1(8),2.0669999999999997,8,camera
R_3jv8dkv5pkIe4f3,Timing_1(8),2.022,8,camera
R_9NNGTs03HOOrLhz,Timing_1(8),2.807,8,camera
R_9QAIH8o5XKYkAFD,Timing_1(8),3.4019999999999997,8,camera
R_8hQIw8oM3sZtlUV,Timing_1(8),3.6639999999999997,8,camera
R_dbuBKRXlnjouSRD,Timing_1(8),5.983,8,camera
R_81i04UQTtFxOXlz,Timing_1(8),4.705,8,camera
R_aflUaQ1v901DTZb,Timing_1(8),2.114,8,camera
R_8cU5NCG2ysTIeFf,Timing_1(8),2.521,8,camera
R_9movxfJr3JHx4c5,Timing_1(8),5.11,8,camera
R_6zZuvVsaXiYicmh,Timing_1(8),2.194,8,camera
R_7Os34FuyUOKUtAV,Timing_1(8),2.8289999999999997,8,camera
R_6tIMcOQsORkQnuB,Timing_1(8),6.4910000000000005,8,camera
R_e9a4GNsvoZJ49mZ,Timing_1(8),1.6740000000000002,8,camera
R_cAPsFbVcU6FKEpT,Timing_1(8),2.657,8,camera
R_cO0dBs5ofX0BOpT,Timing_1(8),1.525,8,camera
R_6Yb3oRlkWUQ0xkF,Timing_1(8),5.3389999999999995,8,camera
R_5A3PjLiZbWfA6Tb,Timing_1(8),1.515,8,camera
R_0cuIBoqJYSnYnLT,Timing_1(8),2.597,8,camera
R_9KSFfd62afsuieF,Timing_1(8),1.5819999999999999,8,camera
R_02GRIQd5MDRenPf,Timing_1(8),1.548,8,camera
R_bjv98vU4STp6zQx,Timing_1(8),2.0980000000000003,8,camera
R_9KB1XzOy6rP7O1D,Timing_1(8),1.6969999999999998,8,camera
R_eX2Q9p9ZqgsYVLv,Timing_1(8),2.529,8,camera
R_eDMsuefXH4Nvbhz,Timing_1(8),,8,camera
